0;nop;0
1;halt;0
2;mov;1
3;mov;1
4;mov;1
5;mov;1
6;mov;1
7;mov;1
8;mov
9;mov;1
10;mov
11;mov;1;8
12;mov;1;8
13;mov;8;1
14;mov;8
15;mov;8
16;mov;1
17;mov;1
18;mov;1
19;mov;1
20;mov;1;8
21;mov;1;8
22;mov;1;8
23;mov;1;8
24;push;1
25;push
26;push
27;pop;1
28;pop
29;pop
30;alloc;1
31;free;1
32;and;1
33;or;1
34;xor;1
35;not;1
36;shl;1
37;shr;1
38;add;1
39;sub;1
40;mul;1
41;div;1
42;gre;1
43;les;1
44;eq;1
45;jmp;1
46;jnz;1
47;jz;1
48;syscall;8
49;mov;1
50;mov
51;mov
52;mov;1
53;mov
54;mov
55;mov;8
56;mov;1
57;mov;1;8
58;push
59;pop
60;addf;1
61;subf;1
62;mulf;1
63;divf;1
64;addd;1
65;muld;1
66;divd;1
67;cvtif;1
68;cvtid;1
69;cvtfi;1
70;cvtfd;1
71;cvtdi;1
72;cvtdf;1
